NOME,SIGLA,LOGRADOURO,BAIRRO,CIDADE,UF,CEP
"3ª Delegacia do Serviço Militar da 26ª C S M","3ª Del SM / 26ª CSM","RUA JOSINO FERREIRA, 356","CENTRO","Picos","PI","64600000"
"3ª Delegacia do Serviço Militar da 27ª C S M","3ª Del SM / 27ª CSM","RUA ARÃO REIS, 712","CENTRO","Caxias","MA","65606020"
"3ª Delegacia do Serviço Militar da 28ª C S M","3ª Del SM / 28ª CSM","RUA GETULIO VARGAS, 28","CENTRO","Abaetetuba","PA","68440000"
"3ª Delegacia do Serviço Militar da 29ª C S M","3ª Del SM / 29ª CSM","RUA LIMA BACURY, 225","CENTRO","Manaus","AM","69005220"
"3ª Delegacia do Serviço Militar da 30ª C S M","3ª Del SM / 30ª CSM","AV. PEDRO MANVAILER, 1070","CENTRO","Amambai","MS","79990000"
"3ª Delegacia do Serviço Militar da 31ª C S M","3ª Del SM / 31ª CSM","RUA TANCREDO NEVES S/N","PREFEITURA MUNICIPAL","Vilhena","RO","78995000"
"3ª Delegacia do Serviço Militar da 4ª C S M","3ª Del SM / 4ª CSM","RUA MELVIN JONES, 161","CENTRO","Osasco","SP","06010020"
"3ª Delegacia do Serviço Militar da 6ª C S M","3ª Del SM / 6ª CSM","Rua Regente Feijó, 52","CENTRO","Lins","SP","16400049"
"3ª Delegacia do Serviço Militar da 8ª C S M","3ª Del SM / 8ª CSM","RUA BORGES DE MEDEIROS, 275",,"Lajeado","RS","95900000"
"3ª Esquadrão de Cavalaria Mecanizado","3º Esqd C Mec","AV DUQUE DE CAXIAS S/N","S M U","Brasília","DF","70630000"
"3º Grupamento de Engenharia","3º Gpt E",,,"Campo Grande","MS",
"3º Grupo de Artilharia Antiaérea","3º GAAAe","AV RIO BRANCO, 707","RIO BRANCO","Caxias do Sul","RS","95010060"
"3º Grupo de Artilharia De campanha Autopropulsado","3º GAC AP","RUA MARECHAL HERMES S/N","PASSO D AREIA","Santa Maria","RS","97010320"
"3ª Inspetoria de Contabilidade e Finanças do Exército","3ª ICFEx","RUA CORREA LIMA, 222","SANTA TEREZA","Porto Alegre","RS","90850250"
"3º Pelotão de Polícia do Exército","3º Pel PE","AV JOAO TELLES, 1001","CENTRO","Bagé","RS","96400030"
"3º Regimento de Carros de Combate","3º RCC","Av Gen Aldo Bonde, nº 333 - Núcleo Santa Terezinha","Contorno","Ponta Grossa","PR","84060170"
"3º Regimento de Cavalaria de Guardas","3º RCG","Av Salvador França, 201","Partenon","Porto Alegre","RS","90690000"
"3º Regimento de Cavalaria Mecanizado","3º RC Mec","AV ESPANHA, 64","CENTRO","Bagé","RS","96408000"
"30° BATALHÃO DE INFANTARIA MECANIZADO","30° B I Mec","BR 376 - KM 353 - RODOVIA DO CAFÉ","VILA REIS","Apucarana","PR","86813240"
"30ª Delegacia do Serviço Militar da 11ª C S M","30ª Del SM / 11ª CSM","RUA ANTONIO ANTUNES, 190","CENTRO","Janauba","MG","39440000"
"30ª Delegacia do Serviço Militar da 15ª C S M","30ª Del SM / 15ª CSM","RUA PARAÍBA, 900","CENTRO","Paranavaí","PR","87702300"
"31º Batalhão de Infantaria Motorizado","31º BI Mtz","RUA 15 DE NOVEMBRO, 100","CUITES","Campina Grande","PB","58404450"
"31ª Circunscrição de Serviço Militar","31ª CSM","ESTRADA DE STO ANTÔNIO, 6122","MILITAR","Porto Velho","RO","76805812"
"31ª Delegacia do Serviço Militar da 11ª C S M","31ª Del SM / 11ª CSM","AV MAL DEODORO DA FONSECA, 202","C ADM MUNICIP","Januária","MG","39480000"
"31º Grupo de Artilharia de Campanha (Escola)","31º GAC (Es)","RUA SÃO SEBASTIÃO S/N","DEODORO","Rio de Janeiro","RJ","21615210"
"32º Batalhão de Infantaria Leve","32º BIL","PETRÓPOLIS RIO DE JANEIRO","TEM QUE COLOCAR","Petrópolis","RJ","0000000"
"32ª Delegacia do Serviço Militar da 15ª C S M","32ª Del SM / 15ª CSM","RUA PIUNA, 3920",,"Umuarama","PR","87501050"
"32º Grupo de Artilharia de Campanha","32º GAC","AV DUQUE DE CAXIAS S/N","SMU","Brasília","DF","70630100"
"32º Pelotão de Polícia do Exército","32º Pel PE","Av Marquês de Pombal - Setor Militar Marechal Rondon - Quadra 1, s/nº","13 de Setembro","Boa Vista","RR","69312470"
"33° Batalhão De Infantaria Mecanizado","33° B I Mec","RUA 25 DE AGOSTO, 285","CENTRO","Cascavel","PR","85801060"
"33ª Delegacia do Serviço Militar da 15ª C S M","33ª Del SM / 15ª CSM","RUA ANTÔNIO DE PAIVA CANTELMO, 1010","CENTRO","Francisco Beltrão","PR","85601250"
"33º Pelotão de Polícia do Exército","33º Pel PE","FOLHA 23 QUADRA ESPECIAL","NOVA MARABA","Marabá","PA","68508970"
"34° Batalhão De Infantaria Mecanizado","34° B I Mec","AV REPUBLICA ARGENTINA, 593","CENTRO","Foz do Iguaçu","PR","85851200"
